fiyat,takas_puani,cmf,mfi,ad_egim,obv_egim,fiyat_egim,uyum,uyum_gucu,yukselirken_birikim,hacim_mtl,sembol,tarih,ileri_getiri,endeks_getiri
141.0,34.0,-0.3130273073825156,35.99354759354355,-0.0789498094837016,-0.06795425118598898,-0.07854892597758185,1.0,-0.000400883506119748,,128.68651404967346,ERCB,2024-05-03,-11.560285852310503,2.723583145895514
124.69999694824219,34.0,-0.3589697989055533,32.476534219887014,-0.08310854887668252,-0.045975704538642526,-0.05711982893777808,1.0,-0.02598871993890444,,125.47103203932878,ERCB,2024-06-03,-4.330388154480625,2.7944036811479833
119.30000305175781,34.0,-0.10531686214053715,58.91405183562875,-0.07780740295488113,-0.06423960329826389,-0.0769378227000651,1.0,-0.0008695802548160242,,41.01949814841156,ERCB,2024-07-05,-11.567479211019583,-8.944137354097093
105.5,40.0,-0.30954249262967065,48.05679432082125,-0.06851386553634271,0.04940470579698752,-0.037241684062948414,1.0,-0.0312721814733943,,58.34859746532669,ERCB,2024-08-06,-0.6635042163433025,0.5626837327830536
104.80000305175781,34.0,-0.26180391445246254,68.16631590797738,-0.0839925276641875,-0.06959721410681009,-0.07481485905770242,1.0,-0.00917766860648507,,61.476725363477705,ERCB,2024-09-05,-14.122139905328535,-8.327625845079256
90.0,40.0,-0.4004006180624213,19.620469295050754,-0.0827808575350978,-0.0786435135958366,-0.04059336360118837,1.0,-0.04218749393390943,,71.84834979195213,ERCB,2024-10-04,-4.83333163791233,-5.386811614307829
85.6500015258789,46.0,-0.35833403376707884,28.85703027283023,-0.08521301875938032,0.06279716365213796,-0.07452941953609164,1.0,-0.010683599223288681,,56.267292074949644,ERCB,2024-11-05,20.373609617472944,14.706564541727808
103.0999984741211,56.0,0.019399942497422242,78.23106515990327,-0.055349971626949074,0.08122255033777331,0.04119442853381727,-1.0,-0.09654440016076635,-0.055349971626949074,61.25105916984673,ERCB,2024-12-04,0.872940387195853,1.9127929673608879
104.0,36.0,-0.3987914683191531,64.67193350514088,-0.07783954927320458,0.07857053509098398,0.05503419120274228,-1.0,-0.13287374047594686,-0.07783954927320458,49.943094169584654,ERCB,2025-01-03,-15.769232236422026,-2.985543208021746
87.5999984741211,40.0,-0.22586001769745442,28.75406201949646,-0.08096207997317524,-0.06602849499660063,-0.07852427060934901,1.0,-0.002437809363826232,,24.612828277191927,ERCB,2025-02-03,-3.8812803482905722,1.264520403923175
84.19999694824219,34.0,-0.22052481981646557,35.66421273908493,-0.07362937921607365,-0.08325444978929172,-0.07374800414314156,1.0,0.00011862492706790628,,30.912094532152175,ERCB,2025-03-04,-1.7814727486534898,-5.2354013586702886
82.69999694824219,45.0,-0.06734073178860067,45.84463869141438,-0.009490646663429598,-0.061052198964984594,-0.018444034782702765,1.0,0.008953388119273167,,45.985211073066715,ERCB,2025-04-04,-5.985486252605476,-3.253799325008666
77.75,40.0,-0.4544185959609859,47.76565600982577,-0.08134082456501943,0.00620718367466193,-0.07258369074647376,1.0,-0.008757133818545662,,34.86456429457512,ERCB,2025-05-07,-6.881026976361538,6.44326332836902
72.4000015258789,40.0,-0.35699169190633884,49.652888960091325,-0.0853423937671543,0.06773178659891324,-0.08096914203843864,1.0,-0.004373251728715666,,22.525270537700653,ERCB,2025-06-10,2.4861814702032525,5.259177696732742
74.19999694824219,50.0,-0.012683274655892553,80.14032108972269,-0.06398516276626282,0.07248481951834113,-0.03306449679636247,1.0,-0.030920665969900347,,27.9975041695076,ERCB,2025-07-09,11.118598840044092,7.920482247105531
82.44999694824219,46.0,-0.2022048655173172,75.40578309190278,-0.07420823078103302,0.08478708375088724,0.082846863106221,-1.0,-0.15705509388725403,-0.07420823078103302,53.83040503057136,ERCB,2025-08-08,-6.306849170056939,-4.767725399750544
77.25,30.0,-0.2644091350907203,48.699392536718214,-0.08299726092186474,0.038153877351295086,0.015698191222254035,-1.0,-0.09869545214411878,-0.08299726092186474,46.173188745661164,ERCB,2025-09-08,0.6472491909385036,3.4901449376674387
77.75,34.0,-0.43892640622239454,41.98770298168001,-0.08319229675441088,-0.07228439410462015,-0.033343978327082524,1.0,-0.049848318427328356,,31.273951639203645,ERCB,2025-10-07,-0.2572308015976743,2.396872644744219
77.55000305175781,45.0,-0.04415883156257359,67.13668614204423,-0.07254726430644907,-0.021874578876331957,-0.046025391855133845,1.0,-0.02652187245131523,,16.258371861125948,ERCB,2025-11-06,2.5145027356617167,-0.595119930145882
79.5,24.0,-0.28654222764250875,35.304701590498226,-0.06581815610481923,-0.06603498855264835,0.03775874085924323,-1.0,-0.10357689696406246,-0.06581815610481923,559.2118660614116,ERCB,2025-12-05,-6.792454749533217,9.233782528054203
74.0999984741211,34.0,-0.335449168132243,43.79491725364102,-0.08353022370795198,-0.05956819174950361,-0.01721642184945803,1.0,-0.06631380185849395,,356.03892241325264,ERCB,2026-01-06,-4.453435209605006,15.530867287868432
70.80000305175781,46.0,-0.2899130028428675,46.838470765694595,-0.08218373318001593,0.007064719467926273,-0.045946750918014125,1.0,-0.0362369822620018,,164.5766273461918,ERCB,2026-02-04,-22.669494858671936,-5.8475854732955685
54.75,34.0,-0.3508356213769394,30.35709194930611,-0.0816836323704537,-0.06811817881158015,-0.07957161596462077,1.0,-0.002112016405832931,,105.9305957046444,ERCB,2026-03-05,4.657532853078616,0.2553686706448177
57.29999923706055,39.0,-0.08067828698207495,64.39037138564322,-0.06836158205925046,-0.046902466938612206,-0.06833795132707549,1.0,-2.3630732174970137e-05,,90.51303873019886,ERCB,2026-04-06,5.497384935114535,14.703751658505858
60.45000076293945,46.0,-0.14883724231622644,60.16301814584096,-0.07505740541759508,0.07576661937129597,0.062144531561722935,-1.0,-0.137201936979318,-0.07505740541759508,74.47225349457875,ERCB,2026-05-07,4.549214169217941,-7.843594945792443
63.20000076293945,46.0,,70.77558488421894,-0.07796626062189907,0.03491525739358829,0.034533054648215974,-1.0,-0.11249931527011504,-0.07796626062189907,96.36522952884368,ERCB,2026-06-08,-22.46835536632833,4.594323472263651
49.0,40.0,-0.6323151069850399,19.757757651354353,-0.08236559036145492,-0.0699362692803331,-0.057518388809192356,1.0,-0.02484720155226257,,56.78601183860493,ERCB,2026-07-07,-2.653059667470503,-4.818799006125696
14.95592212677002,51.0,0.09043322618013824,63.19074652994197,-0.04393106181549841,0.07165448100617655,0.06751630268673552,-1.0,-0.11144736450223393,-0.04393106181549841,2328.430895672199,EREGL,2022-09-05,0.8392517966454349,2.965702144667315
15.081439971923828,36.0,-0.2147517837109925,65.06297037440154,-0.07925529984216464,0.08082633626764137,0.04236934691019234,-1.0,-0.12162464675235699,-0.07925529984216464,2697.952406479202,EREGL,2022-10-04,-1.984635674283275,17.753035835557363
14.78212833404541,34.0,-0.27184798306528946,59.255385211847226,-0.08415675255755581,-0.04165531812318249,-0.03282573978509981,1.0,-0.051331012772456,,1974.9285408618437,EREGL,2022-11-02,38.73284738214415,23.927407006445577
20.507667541503906,46.0,-0.0023579245051764306,74.21310709636727,-0.026321958790869994,0.06431299998385151,0.08018256016649034,-1.0,-0.10650451895736032,-0.026321958790869994,6260.724930466475,EREGL,2022-12-01,-2.871941803160072,9.175221051920634
19.918699264526367,36.0,-0.21599975337015867,55.54383999127943,-0.0758137208769324,0.0834648113597291,0.061079063345542375,-1.0,-0.13689278422247478,-0.0758137208769324,4625.418894648412,EREGL,2022-12-30,-5.089659379104072,-7.494738443054205
18.904905319213867,34.0,-0.207253845622786,52.35910880540945,-0.0835726165515576,-0.05962445916184167,-0.047545707593049165,1.0,-0.03602690895850843,,7537.528744488287,EREGL,2023-01-30,13.380997950384476,5.808127818592923
21.4345703125,40.0,,71.30033875384915,-0.03926468792855083,0.0055995663174609875,0.045740616128749245,-1.0,-0.08500530405730009,-0.03926468792855083,5410.253170572689,EREGL,2023-03-06,-19.009025539318426,-7.570043603533739
17.36006736755371,34.0,-0.5427996965383344,30.876896841000942,-0.07913821312213165,-0.03534645209716491,-0.04974494285031854,1.0,-0.029393270271813113,,4135.594774008457,EREGL,2023-04-04,-16.685203547698634,-11.7032250088
14.463504791259766,40.0,-0.5176948199442415,29.71826958484496,-0.08343395830271803,0.021723189737055535,-0.07981752289952901,1.0,-0.003616435403189025,,2321.0569414387815,EREGL,2023-05-05,17.156201956945516,22.450462065575707
16.94489288330078,55.0,0.0982323076972415,65.19844892664705,-0.06204818577325369,-0.024095753539713227,-0.03624594491601213,1.0,-0.02580224085724156,,2215.3038994625767,EREGL,2023-06-06,12.250737392734168,16.35986579804667
19.020767211914062,56.0,-0.024766504357236124,76.76338874836861,0.017263408463562592,0.08138222793962346,0.07875338866375454,1.0,-0.06148998020019195,0.017263408463562592,2961.370827781085,EREGL,2023-07-10,4.010134010404753,18.209364780129377
